date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:02	129089/129089	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2006:50:02%20GMT	https://aprendegit.com/	aprendegit.com/index.html	(from )
08:50:02	1229/1229	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2007%20Sep%202024%2006:50:02%20GMT	https://aprendegit.com/xmlrpc.php	aprendegit.com/xmlrpc.php	(from https://aprendegit.com/)
08:50:04	112157/112157	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202024%2009:49:41%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/30f5471e8da8a07eb3bced1692f7495e.css?ver=f51ce	aprendegit.com/wp-content/litespeed/css/1/30f5471e8da8a07eb3bced1692f7495ea604.css	(from https://aprendegit.com/)
08:50:04	35488/35488	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2252ba61788b2e95601d0030d5f672b6e1%22	https://aprendegit.com/comments/feed/	aprendegit.com/comments/feed/index.html	(from https://aprendegit.com/)
08:50:04	139814/139814	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2006:50:04%20GMT	https://aprendegit.com/page/2/	aprendegit.com/page/2/index.html	(from https://aprendegit.com/)
08:50:04	147673/147673	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2252ba61788b2e95601d0030d5f672b6e1%22	https://aprendegit.com/feed/	aprendegit.com/feed/index.html	(from https://aprendegit.com/)
08:50:05	11335/11335	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/5e0b5d7264ff3b5b5112bed582f1df0f.css?ver=67fa5	aprendegit.com/wp-content/litespeed/css/1/5e0b5d7264ff3b5b5112bed582f1df0ff7e2.css	(from https://aprendegit.com/)
08:50:06	4186/4186	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/830eace304c61dce165a21ade97e30f0.css?ver=d8531	aprendegit.com/wp-content/litespeed/css/1/830eace304c61dce165a21ade97e30f0f986.css	(from https://aprendegit.com/)
08:50:07	2347/2347	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202024%2017:50:43%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/278d4f5f5faca674ec06d68e211bfa94.css?ver=5b1aa	aprendegit.com/wp-content/litespeed/css/1/278d4f5f5faca674ec06d68e211bfa94584e.css	(from https://aprendegit.com/)
08:50:09	271460/271460	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/2e5b23f2a3dab719f2d6827739489d67.css?ver=2f31f	aprendegit.com/wp-content/litespeed/css/1/2e5b23f2a3dab719f2d6827739489d673c22.css	(from https://aprendegit.com/)
08:50:09	7306/7306	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Sep%202024%2006:56:29%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/a51f84a0c22e814f2d5d018a7f6c3e85.css?ver=4981c	aprendegit.com/wp-content/litespeed/css/1/a51f84a0c22e814f2d5d018a7f6c3e85210b.css	(from https://aprendegit.com/)
08:50:10	12616/12616	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/be72f6c83c8f88d3a8a4b7bfca56ce00.css?ver=af727	aprendegit.com/wp-content/litespeed/css/1/be72f6c83c8f88d3a8a4b7bfca56ce007290.css	(from https://aprendegit.com/)
08:50:11	28436/28436	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/9ab2918d6ca64a4c5d64ffbdcf665c9a.css?ver=9d37e	aprendegit.com/wp-content/litespeed/css/1/9ab2918d6ca64a4c5d64ffbdcf665c9ac19d.css	(from https://aprendegit.com/)
08:50:12	7991/7991	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/e41c0c60d1a889ca3c95508cf6d3356a.css?ver=2f729	aprendegit.com/wp-content/litespeed/css/1/e41c0c60d1a889ca3c95508cf6d3356a7db9.css	(from https://aprendegit.com/)
08:50:14	109151/109151	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/css/1/10389615fd3f9cf6938f6f676c0851a3.css?ver=e4c82	aprendegit.com/wp-content/litespeed/css/1/10389615fd3f9cf6938f6f676c0851a3964c.css	(from https://aprendegit.com/)
08:50:15	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Jul%202024%2015:24:39%20GMT	https://aprendegit.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	aprendegit.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://aprendegit.com/)
08:50:15	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Sep%202024%2010:02:08%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/20625b57966b311ba1d8f40926338875.js?ver=f939e	aprendegit.com/wp-content/litespeed/js/1/20625b57966b311ba1d8f40926338875cd3e.js	(from https://aprendegit.com/)
08:50:16	21465/21465	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/9c5d0e13e8c87af8c09a0c980350ee58.js?ver=a93f0	aprendegit.com/wp-content/litespeed/js/1/9c5d0e13e8c87af8c09a0c980350ee580f94.js	(from https://aprendegit.com/)
08:50:17	3429/3429	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Sep%202024%2010:02:08%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/1879ae2d26b708265a46341593ae362a.js?ver=d2457	aprendegit.com/wp-content/litespeed/js/1/1879ae2d26b708265a46341593ae362a4b79.js	(from https://aprendegit.com/)
08:50:18	25505/25505	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/d3d3e8199c51b2efc5f6d44415f4ba2a.js?ver=2dea9	aprendegit.com/wp-content/litespeed/js/1/d3d3e8199c51b2efc5f6d44415f4ba2a4768.js	(from https://aprendegit.com/)
08:50:19	36749/36749	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/227d645cf0f898e1f2c1ccdbdfaa8a55.js?ver=6231b	aprendegit.com/wp-content/litespeed/js/1/227d645cf0f898e1f2c1ccdbdfaa8a55eb04.js	(from https://aprendegit.com/)
08:50:20	18825/18825	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/5cc4d7d15af6986d496cc0d6238295a7.js?ver=4d549	aprendegit.com/wp-content/litespeed/js/1/5cc4d7d15af6986d496cc0d6238295a7cfa9.js	(from https://aprendegit.com/)
08:50:21	18421/18421	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Sep%202024%2006:32:28%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/5b4e06f923ee7c969a592e71dfa7d402.js?ver=3f739	aprendegit.com/wp-content/litespeed/js/1/5b4e06f923ee7c969a592e71dfa7d4023a83.js	(from https://aprendegit.com/)
08:50:22	4403/4403	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/06418227af3ad366c253353464f0f146.js?ver=ed8dc	aprendegit.com/wp-content/litespeed/js/1/06418227af3ad366c253353464f0f14618dc.js	(from https://aprendegit.com/)
08:50:23	4349/4349	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2025%20Aug%202024%2017:50:43%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/379bf0a8017b3d6849308b600d7109e7.js?ver=9d0d1	aprendegit.com/wp-content/litespeed/js/1/379bf0a8017b3d6849308b600d7109e78fa5.js	(from https://aprendegit.com/)
08:50:24	6155/6155	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/aeef5fd2d73d345bf020a157946c140e.js?ver=4cb4d	aprendegit.com/wp-content/litespeed/js/1/aeef5fd2d73d345bf020a157946c140ecc04.js	(from https://aprendegit.com/)
08:50:25	13099/13099	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/63a1b71cac93afc69b58043202064fd8.js?ver=e1950	aprendegit.com/wp-content/litespeed/js/1/63a1b71cac93afc69b58043202064fd8f285.js	(from https://aprendegit.com/)
08:50:27	989/989	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2006%20Sep%202024%2021:08:26%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/bd5ac10bf9b3ae8a0fee79fa0a9ac19d.js?ver=edbe1	aprendegit.com/wp-content/litespeed/js/1/bd5ac10bf9b3ae8a0fee79fa0a9ac19d4068.js	(from https://aprendegit.com/)
08:50:28	468994/468994	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Sep%202024%2006:50:26%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/0cab3076946c503cb71154a4bd7ff3af.js?ver=662b5	aprendegit.com/wp-content/litespeed/js/1/0cab3076946c503cb71154a4bd7ff3af46e5.js	(from https://aprendegit.com/)
08:50:29	39766/39766	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2031%20Jul%202024%2007:18:34%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/af8c9e3410a59cf2c6978d12b69d58ce.js?ver=e4e23	aprendegit.com/wp-content/litespeed/js/1/af8c9e3410a59cf2c6978d12b69d58ceec33.js	(from https://aprendegit.com/)
08:50:29	3311/3311	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202024%2010:01:18%20GMT	https://aprendegit.com/wp-content/litespeed/js/1/10f349c651cb81a41928ea7f4c0f3b26.js?ver=cfda6	aprendegit.com/wp-content/litespeed/js/1/10f349c651cb81a41928ea7f4c0f3b26e32e.js	(from https://aprendegit.com/)
